Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Import_Stim.ran,Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,participant,session,date,expName,psychopyVersion,OS,frameRate,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,Instr_Exp_Bool.ran,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Symbol,ctx,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Session,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,RT_Iter_Hand.ran,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Feedback_Bool_Hand.ran,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Iter_Hand.ran,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Block_Hand.ran,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Shape,RT_Press.keys,RT_Press.corr,RT_Press.rt,CR_Old_Iter_Ctx12.thisRepN,CR_Old_Iter_Ctx12.thisTrialN,CR_Old_Iter_Ctx12.thisN,CR_Old_Iter_Ctx12.thisIndex,CR_Old_Iter_Ctx12.ran,Instr_RT_Press.keys,Instr_RT_Press.rt,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,RT_Iter.ran,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Block.ran,Instr_TR_Old_Press.keys,Instr_TR_Old_Press.rt,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Feedback_Bool.ran,TR_Iter.thisRepN,TR_Iter.thisTrialN,TR_Iter.thisN,TR_Iter.thisIndex,TR_Iter.ran,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Old_Block.ran,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,TR_Penalty_Bool.ran
0,0,0,0,1,0,h,red,media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/check.png,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,1,u,red,media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,2,i,red,media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,media/check.png,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,3,l,red,media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,media/cross.png,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,0,h,green,media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/check.png,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,1,u,green,media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,2,i,green,media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,media/check.png,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,"[1,2,0,3]","[0,3,1,2]",space,7.17719,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,h,14.173965,3,0,Hand,l,RT,0,0,0,0,1,1,0.736099385,1,l,1,0.758785,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,0,0,Hand,h,RT,0,0,1,0,1,1,0.546417592,1,u,0,0.61027,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,0,0,Hand,h,RT,0,0,2,0,1,1,0.351951386,1,h,1,0.521685,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,3,0,Hand,l,RT,0,0,3,0,1,1,1.032424465,1,l,1,0.484565,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,1,0,Hand,u,RT,0,0,4,0,1,1,0.351592639,1,u,1,0.6239,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,1,0,Hand,u,RT,0,0,5,0,1,1,0.806983665,1,u,1,0.567835,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,2,0,Hand,i,RT,0,0,6,0,1,1,0.55493051,1,i,1,0.518465,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,1,2020-12-07_09h28.06.760,Context_Learning_Pilot,2020.1.3,MacIntel,60,,,,,,,,,,,,2,0,Hand,i,RT,0,0,7,0,1,1,0.115339597,1,i,1,0.544525,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
