Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_text.started,Instr_RT_text.stopped,Instr_RT_key_resp.keys,Instr_RT_key_resp.rt,Instr_RT_key_resp.started,Instr_RT_key_resp.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Symbol,Finger,Shape,ctx,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,participant,day,date,expName,psychopyVersion,frameRate,
0,h,"[-1, -1, 1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/check.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
1,u,"[-1, -1, 1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
2,i,"[-1, -1, 1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
3,l,"[-1, -1, 1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
0,h,"[-1, 1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
1,u,"[-1, 1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
2,i,"[-1, 1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
3,l,"[-1, 1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 2, 1, 3)","(3, 1, 2, 0)",8.66786119993776,None,space,25.383655400015414,8.66786119993776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,34.082354499958456,None,h,0.48977979994378984,34.082354499958456,None,34.619730999926105,None,h,0.5841372001450509,34.619730999926105,None,0,h,media/djnb.png,1,RT,0,0,0,1,0,1,0.6830239335269404,35.263398099923506,35.263398099923506,35.263398099923506,None,35.263398099923506,None,h,1,1.6854671000037342,35.263398099923506,None,37.03375459997915,None,37.03375459997915,None,37.33418060000986,None,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,3,l,media/ddnb.png,1,RT,0,0,1,1,0,1,0.27737837711541813,37.54910639999434,37.54910639999434,37.54910639999434,None,37.54910639999434,None,l,1,1.7750940001569688,37.54910639999434,None,39.36254549981095,None,39.36254549981095,None,39.665630099829286,None,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,2,u,media/dinb.png,1,RT,0,0,2,1,0,1,1.1497627620998374,39.873678099829704,39.873678099829704,39.873678099829704,None,39.873678099829704,None,u,1,0.8820866998285055,39.873678099829704,None,40.789262999780476,None,40.789262999780476,None,41.09918709984049,None,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,1,i,media/dnnb.png,1,RT,0,0,3,1,0,1,0.8764737347135215,41.299193899845704,41.299193899845704,41.299193899845704,None,41.299193899845704,None,i,1,0.48820720007643104,41.299193899845704,None,41.82723409985192,None,41.82723409985192,None,42.133833499858156,None,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,2,u,media/dinb.png,1,RT,0,0,4,1,0,1,1.190327235741663,42.35293569997884,42.35293569997884,42.35293569997884,None,42.35293569997884,None,u,1,0.9387397998943925,42.35293569997884,None,43.32973789982498,None,43.32973789982498,None,43.632553099887446,None,1,2,2020_Dec_04_0123,Context_Learning_new,2020.1.3,60.4261006720206,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,media/ddnb.png,1,RT,0,0,5,1,0,1,0.2942923778424562,,,,,,,,,,,,,,,,,,,,,,,,
