Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,TR_Old_Bool.thisRepN,TR_Old_Bool.thisTrialN,TR_Old_Bool.thisN,TR_Old_Bool.thisIndex,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Iter.thisRepN,TR_Iter.thisTrialN,TR_Iter.thisN,TR_Iter.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Symbol,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,Day,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,Instr_TR_text.started,Instr_TR_text.stopped,Instr_TR_Press.keys,Instr_TR_Press.rt,Instr_TR_Press.started,Instr_TR_Press.stopped,Shape,ctx,Repeat_Count,Brp_R,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.started,TR_Press.stopped,participant,day,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/check.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
1,u,"[1, -1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
2,i,"[1, -1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
3,l,"[1, -1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
0,h,"[-1, 1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
1,u,"[-1, 1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
2,i,"[-1, 1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
3,l,"[-1, 1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 3, 1, 2)","(1, 0, 2, 3)",9.41421279986389,None,h,0.6726096000056714,9.41421279986389,None,10.131542099872604,None,h,0.5707968999631703,10.131542099872604,None,0,h,TR_Hand,0,0,0.2692001426739796,1,1,0,1,0,0,10.789084899937734,None,10.789084899937734,None,10.789084899937734,None,12.081087699858472,None,u,0,1.4098326999228448,10.789084899937734,None,12.23586789984256,None,12.23586789984256,None,12.23586789984256,None,12.547669899882749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,1,1.2448518888900373,1,1,0,1,0,1,12.778770299861208,14.56426679994911,12.778770299861208,14.56426679994911,12.778770299861208,14.56426679994911,13.11434829980135,14.56426679994911,None,0,,12.778770299861208,None,,,,,,,18.047799199819565,None,14.587982999859378,None,14.587982999859378,None,h,1.464253299869597,16.566648199921474,None,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1522,Context_Learning_new,2020.1.3,60.31559530854004,
