Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,TR_Old_Bool.thisRepN,TR_Old_Bool.thisTrialN,TR_Old_Bool.thisN,TR_Old_Bool.thisIndex,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Iter.thisRepN,TR_Iter.thisTrialN,TR_Iter.thisN,TR_Iter.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_TR_text.started,Instr_TR_text.stopped,Instr_TR_Press.keys,Instr_TR_Press.rt,Instr_TR_Press.started,Instr_TR_Press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Symbol,Finger,Shape,ctx,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Day,TR_too_early,TR_too_late,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Press.started,TR_Press.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,participant,day,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/check.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
1,u,"[1, -1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
2,i,"[1, -1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
3,l,"[1, -1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
0,h,"[-1, 1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
1,u,"[-1, 1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
2,i,"[-1, 1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
3,l,"[-1, 1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,"(0, 3, 1, 2)","(1, 0, 2, 3)",11.780804799869657,None,h,0.907367599895224,11.780804799869657,None,12.748308799928054,None,h,0.4504332998767495,12.748308799928054,None,0,h,media/djnb.png,1,TR,0,0,0,1,0,1,1.1232201584175154,1,0,0,13.225029400084168,13.225029400084168,13.225029400084168,None,13.225029400084168,None,13.707221899880096,None,h,1,1.477699400158599,13.225029400084168,None,14.744349299930036,None,14.744349299930036,None,14.744349299930036,None,15.053993900073692,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,u,media/dinb.png,1,TR,0,0,1,1,0,1,1.0762202848041489,1,0,0,15.253857899922878,15.253857899922878,15.253857899922878,None,15.253857899922878,None,15.772716799983755,None,u,1,1.5776627999730408,15.253857899922878,None,16.880322499899194,None,16.880322499899194,None,16.880322499899194,None,17.188519099960104,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
